,Waianae_solar
2022-12-31 00:00:00,1.5866371434884032
2022-12-31 01:00:00,1.5866400166520556
2022-12-31 02:00:00,1.5866428850273795
2022-12-31 03:00:00,1.5866457486140455
2022-12-31 04:00:00,1.5866486074117239
2022-12-31 05:00:00,1.5866514614200873
2022-12-31 06:00:00,1.5866543106388062
2022-12-31 07:00:00,1.5866571550675557
2022-12-31 08:00:00,1.5866599947060065
2022-12-31 09:00:00,1.5866628295538336
2022-12-31 10:00:00,1.586665659610711
2022-12-31 11:00:00,1.5866684848763133
2022-12-31 12:00:00,1.5866713053503168
2022-12-31 13:00:00,1.5866741210323958
2022-12-31 14:00:00,1.5866769319222285
2022-12-31 15:00:00,1.5866797380194906
2022-12-31 16:00:00,1.5866825393238604
2022-12-31 17:00:00,1.5866853358350155
2022-12-31 18:00:00,1.5866881275526352
2022-12-31 19:00:00,1.586690914476399
2022-12-31 20:00:00,1.5866936966059848
2022-12-31 21:00:00,1.5866964739410754
2022-12-31 22:00:00,1.58669924648135
2022-12-31 23:00:00,1.5867020142264907
2023-01-01 00:00:00,1.5867047771761793
2023-01-01 01:00:00,1.5867075353300983
2023-01-01 02:00:00,1.5867102886879314
2023-01-01 03:00:00,1.5867130372493607
2023-01-01 04:00:00,1.5867157810140724
2023-01-01 05:00:00,1.5867185199817497
2023-01-01 06:00:00,1.5867212541520785
2023-01-01 07:00:00,1.5867239835247444
2023-01-01 08:00:00,1.586726708099434
2023-01-01 09:00:00,1.5867294278758348
2023-01-01 10:00:00,1.5867321428536327
2023-01-01 11:00:00,1.5867348530325176
2023-01-01 12:00:00,1.5867375584121766
2023-01-01 13:00:00,1.5867402589923
2023-01-01 14:00:00,1.5867429547725767
2023-01-01 15:00:00,1.5867456457526974
2023-01-01 16:00:00,1.5867483319323525
2023-01-01 17:00:00,1.5867510133112337
2023-01-01 18:00:00,1.5867536898890333
2023-01-01 19:00:00,1.5867563616654423
2023-01-01 20:00:00,1.5867590286401554
2023-01-01 21:00:00,1.5867616908128654
2023-01-01 22:00:00,1.586764348183266
2023-01-01 23:00:00,1.5867670007510528
2023-01-02 00:00:00,1.5867696485159202
2023-01-02 01:00:00,1.5867722914775646
